 Trial name                      , status     , loc                 ,   stoch_latent_dim ,   mach_latent_dim ,   alpha_prof ,   alpha_mach ,   beta_mach_unsup ,   beta_stoch ,     loss ,   loss_mp 
 train_model_on_tune_8a726_00055 , TERMINATED , 10.140.0.117:80145  ,4,5,500,500,0.1,1,0.363838,0.814776
 train_model_on_tune_8a726_00057 , TERMINATED , 10.140.0.117:85033  ,4,5,500,500,0.0001,1,0.36421,0.813318
 train_model_on_tune_8a726_00059 , TERMINATED , 10.140.0.117:94345  ,4,5,500,500,0.0005,1,0.365446,0.8031
 train_model_on_tune_8a726_00194 , TERMINATED , 10.140.0.117:69066  ,6,10,500,500,0.0005,1,0.367504,0.81096
 train_model_on_tune_8a726_00140 , TERMINATED , 10.140.0.117:107538 ,5,11,500,500,0.1,1,0.367626,0.81525
 train_model_on_tune_8a726_00058 , TERMINATED , 10.140.0.117:90363  ,4,5,500,500,0.005,1,0.368568,0.807353
 train_model_on_tune_8a726_00144 , TERMINATED , 10.140.0.117:114023 ,5,11,500,500,0.0005,1,0.370701,0.809804
 train_model_on_tune_8a726_00011 , TERMINATED , 10.140.0.117:133987 ,3,7,500,500,0.001,1,0.373487,0.814688
 train_model_on_tune_8a726_00056 , TERMINATED , 10.140.0.117:84411  ,4,5,500,500,0.001,1,0.374793,0.819028
 train_model_on_tune_8a726_00020 , TERMINATED , 10.140.0.117:133956 ,3,9,500,500,0.1,1,0.377589,0.717694
 train_model_on_tune_8a726_00021 , TERMINATED , 10.140.0.117:133952 ,3,9,500,500,0.001,1,0.380568,0.808758
 train_model_on_tune_8a726_00024 , TERMINATED , 10.140.0.117:133937 ,3,9,500,500,0.0005,1,0.382133,0.813221
 train_model_on_tune_8a726_00023 , TERMINATED , 10.140.0.117:133948 ,3,9,500,500,0.005,1,0.382292,0.823077
 train_model_on_tune_8a726_00085 , TERMINATED , 10.140.0.117:148494 ,4,11,500,500,0.1,1,0.384441,0.723699
 train_model_on_tune_8a726_00022 , TERMINATED , 10.140.0.117:133944 ,3,9,500,500,0.0001,1,0.384442,0.804975
 train_model_on_tune_8a726_00173 , TERMINATED , 10.140.0.117:21277  ,6,6,500,500,0.005,1,0.384999,0.733356
 train_model_on_tune_8a726_00174 , TERMINATED , 10.140.0.117:22817  ,6,6,500,500,0.0005,1,0.386332,0.732274
 train_model_on_tune_8a726_00153 , TERMINATED , 10.140.0.117:134148 ,5,13,500,500,0.005,1,0.386997,0.720347
 train_model_on_tune_8a726_00171 , TERMINATED , 10.140.0.117:17870  ,6,6,500,500,0.001,1,0.388535,0.735728
 train_model_on_tune_8a726_00150 , TERMINATED , 10.140.0.117:128693 ,5,13,500,500,0.1,1,0.388819,0.700779
 train_model_on_tune_8a726_00152 , TERMINATED , 10.140.0.117:133515 ,5,13,500,500,0.0001,1,0.389502,0.708318
 train_model_on_tune_8a726_00154 , TERMINATED , 10.140.0.117:137261 ,5,13,500,500,0.0005,1,0.394929,0.710901
 train_model_on_tune_8a726_00088 , TERMINATED , 10.140.0.117:149726 ,4,11,500,500,0.005,1,0.397302,0.731922
 train_model_on_tune_8a726_00089 , TERMINATED , 10.140.0.117:152279 ,4,11,500,500,0.0005,1,0.399195,0.702884
 train_model_on_tune_8a726_00086 , TERMINATED , 10.140.0.117:148841 ,4,11,500,500,0.001,1,0.400822,0.6996
 train_model_on_tune_8a726_00087 , TERMINATED , 10.140.0.117:149521 ,4,11,500,500,0.0001,1,0.401014,0.715771
 train_model_on_tune_8a726_00151 , TERMINATED , 10.140.0.117:131592 ,5,13,500,500,0.001,1,0.402207,0.695885
 train_model_on_tune_8a726_00157 , TERMINATED , 10.140.0.117:143233 ,5,14,500,500,0.0001,1,0.403266,0.699837
 train_model_on_tune_8a726_00159 , TERMINATED , 10.140.0.117:146903 ,5,14,500,500,0.0005,1,0.405002,0.697385
 train_model_on_tune_8a726_00188 , TERMINATED , 10.140.0.117:57325  ,6,9,500,500,0.005,1,0.40538,0.702497
 train_model_on_tune_8a726_00091 , TERMINATED , 10.140.0.117:4681   ,4,12,500,500,0.001,1,0.406398,0.817892
 train_model_on_tune_8a726_00187 , TERMINATED , 10.140.0.117:56393  ,6,9,500,500,0.0001,1,0.411828,0.815341
 train_model_on_tune_8a726_00189 , TERMINATED , 10.140.0.117:57801  ,6,9,500,500,0.0005,1,0.411842,0.800791
 train_model_on_tune_8a726_00114 , TERMINATED , 10.140.0.117:44852  ,5,5,500,500,0.0005,1,0.412502,0.697349
 train_model_on_tune_8a726_00185 , TERMINATED , 10.140.0.117:52406  ,6,9,500,500,0.1,1,0.412819,0.803556
 train_model_on_tune_8a726_00090 , TERMINATED , 10.140.0.117:152600 ,4,12,500,500,0.1,1,0.413328,0.807233
 train_model_on_tune_8a726_00099 , TERMINATED , 10.140.0.117:19498  ,4,13,500,500,0.0005,1,0.415419,0.827995
 train_model_on_tune_8a726_00012 , TERMINATED , 10.140.0.117:133985 ,3,7,500,500,0.0001,1,0.416664,0.779952
 train_model_on_tune_8a726_00049 , TERMINATED , 10.140.0.117:74842  ,3,14,500,500,0.0005,1,0.420509,0.81594
 train_model_on_tune_8a726_00096 , TERMINATED , 10.140.0.117:9555   ,4,13,500,500,0.001,1,0.431511,0.833595
 train_model_on_tune_8a726_00013 , TERMINATED , 10.140.0.117:133978 ,3,7,500,500,0.005,1,0.433833,0.793539
 train_model_on_tune_8a726_00167 , TERMINATED , 10.140.0.117:6566   ,6,5,500,500,0.0001,1,0.491802,1.00907
 train_model_on_tune_8a726_00052 , ERROR      , 10.140.0.117:76167  ,3,15,500,500,0.0001,1,0.517195,7.49847
 train_model_on_tune_8a726_00070 , TERMINATED , 10.140.0.117:114925 ,4,8,500,500,0.1,1,0.598642,0.846968
 train_model_on_tune_8a726_00142 , TERMINATED , 10.140.0.117:111185 ,5,11,500,500,0.0001,1,0.604616,0.793282
 train_model_on_tune_8a726_00069 , TERMINATED , 10.140.0.117:114381 ,4,7,500,500,0.0005,1,0.605487,1.04978
 train_model_on_tune_8a726_00032 , ERROR      , 10.140.0.117:133943 ,3,11,500,500,0.0001,1,0.625159,2.23839
 train_model_on_tune_8a726_00073 , TERMINATED , 10.140.0.117:119157 ,4,8,500,500,0.005,1,0.778729,0.797409
 train_model_on_tune_8a726_00035 , TERMINATED , 10.140.0.117:133938 ,3,12,500,500,0.1,1,0.783491,0.79831
 train_model_on_tune_8a726_00036 , TERMINATED , 10.140.0.117:133935 ,3,12,500,500,0.001,1,0.784478,0.783382
 train_model_on_tune_8a726_00038 , TERMINATED , 10.140.0.117:133936 ,3,12,500,500,0.005,1,0.787766,0.789136
 train_model_on_tune_8a726_00074 , TERMINATED , 10.140.0.117:119946 ,4,8,500,500,0.0005,1,0.788304,0.804284
 train_model_on_tune_8a726_00071 , TERMINATED , 10.140.0.117:116577 ,4,8,500,500,0.001,1,0.7886,0.820019
 train_model_on_tune_8a726_00095 , TERMINATED , 10.140.0.117:9551   ,4,13,500,500,0.1,1,0.810685,0.840084
 train_model_on_tune_8a726_00037 , ERROR      , 10.140.0.117:133934 ,3,12,500,500,0.0001,1,0.811695,2.87683
 train_model_on_tune_8a726_00127 , ERROR      , 10.140.0.117:78347  ,5,8,500,500,0.0001,1,0.83926,1.22449
 train_model_on_tune_8a726_00092 , TERMINATED , 10.140.0.117:4760   ,4,12,500,500,0.0001,1,0.850103,1.18744
 train_model_on_tune_8a726_00093 , TERMINATED , 10.140.0.117:8961   ,4,12,500,500,0.005,1,0.850103,0.858763
 train_model_on_tune_8a726_00215 , TERMINATED , 10.140.0.117:113330 ,6,15,500,500,0.1,1,0.850166,1.1876
 train_model_on_tune_8a726_00216 , TERMINATED , 10.140.0.117:119006 ,6,15,500,500,0.001,1,0.850166,1.18729
 train_model_on_tune_8a726_00217 , TERMINATED , 10.140.0.117:121282 ,6,15,500,500,0.0001,1,0.850166,1.18707
 train_model_on_tune_8a726_00218 , TERMINATED , 10.140.0.117:127248 ,6,15,500,500,0.005,1,0.850166,1.18728
 train_model_on_tune_8a726_00219 , TERMINATED , 10.140.0.117:127675 ,6,15,500,500,0.0005,1,0.850166,1.18711
 train_model_on_tune_8a726_00169 , TERMINATED , 10.140.0.117:14485  ,6,5,500,500,0.0005,1,0.850178,1.18804
 train_model_on_tune_8a726_00045 , TERMINATED , 10.140.0.117:60217  ,3,14,500,500,0.1,1,0.850188,1.04925
 train_model_on_tune_8a726_00046 , TERMINATED , 10.140.0.117:61613  ,3,14,500,500,0.001,1,0.850188,0.858308
 train_model_on_tune_8a726_00047 , TERMINATED , 10.140.0.117:69546  ,3,14,500,500,0.0001,1,0.850188,0.696036
 train_model_on_tune_8a726_00048 , TERMINATED , 10.140.0.117:69573  ,3,14,500,500,0.005,1,0.850188,0.849172
 train_model_on_tune_8a726_00165 , TERMINATED , 10.140.0.117:3323   ,6,5,500,500,0.1,1,0.85021,1.18777
 train_model_on_tune_8a726_00010 , TERMINATED , 10.140.0.117:133989 ,3,7,500,500,0.1,1,0.85032,1.18759
 train_model_on_tune_8a726_00080 , TERMINATED , 10.140.0.117:133871 ,4,10,500,500,0.1,1,0.850529,1.07827
 train_model_on_tune_8a726_00081 , TERMINATED , 10.140.0.117:134936 ,4,10,500,500,0.001,1,0.850529,0.764935
 train_model_on_tune_8a726_00082 , TERMINATED , 10.140.0.117:137708 ,4,10,500,500,0.0001,1,0.850529,0.810142
 train_model_on_tune_8a726_00083 , TERMINATED , 10.140.0.117:144406 ,4,10,500,500,0.005,1,0.850529,0.845078
 train_model_on_tune_8a726_00084 , TERMINATED , 10.140.0.117:144674 ,4,10,500,500,0.0005,1,0.850529,0.817428
 train_model_on_tune_8a726_00100 , TERMINATED , 10.140.0.117:19682  ,4,14,500,500,0.1,1,0.850529,1.07924
 train_model_on_tune_8a726_00101 , TERMINATED , 10.140.0.117:23644  ,4,14,500,500,0.001,1,0.850529,0.708756
 train_model_on_tune_8a726_00102 , TERMINATED , 10.140.0.117:23972  ,4,14,500,500,0.0001,1,0.850529,0.70325
 train_model_on_tune_8a726_00103 , TERMINATED , 10.140.0.117:24285  ,4,14,500,500,0.005,1,0.850529,0.728673
 train_model_on_tune_8a726_00104 , TERMINATED , 10.140.0.117:27497  ,4,14,500,500,0.0005,1,0.850529,0.712149
 train_model_on_tune_8a726_00105 , TERMINATED , 10.140.0.117:27754  ,4,15,500,500,0.1,1,0.850529,1.18825
 train_model_on_tune_8a726_00106 , TERMINATED , 10.140.0.117:29796  ,4,15,500,500,0.001,1,0.850529,0.721906
 train_model_on_tune_8a726_00107 , TERMINATED , 10.140.0.117:34673  ,4,15,500,500,0.0001,1,0.850529,0.709324
 train_model_on_tune_8a726_00108 , TERMINATED , 10.140.0.117:34697  ,4,15,500,500,0.005,1,0.850529,0.763303
 train_model_on_tune_8a726_00110 , TERMINATED , 10.140.0.117:38674  ,5,5,500,500,0.1,1,0.850529,1.18725
 train_model_on_tune_8a726_00111 , TERMINATED , 10.140.0.117:38755  ,5,5,500,500,0.001,1,0.850529,0.707649
 train_model_on_tune_8a726_00113 , TERMINATED , 10.140.0.117:42410  ,5,5,500,500,0.005,1,0.850529,0.755457
 train_model_on_tune_8a726_00135 , TERMINATED , 10.140.0.117:93072  ,5,10,500,500,0.1,1,0.850529,1.04179
 train_model_on_tune_8a726_00136 , TERMINATED , 10.140.0.117:99655  ,5,10,500,500,0.001,1,0.850529,0.818333
 train_model_on_tune_8a726_00137 , TERMINATED , 10.140.0.117:99663  ,5,10,500,500,0.0001,1,0.850529,0.823752
 train_model_on_tune_8a726_00138 , TERMINATED , 10.140.0.117:101625 ,5,10,500,500,0.005,1,0.850529,0.873947
 train_model_on_tune_8a726_00139 , TERMINATED , 10.140.0.117:104522 ,5,10,500,500,0.0005,1,0.850529,0.818672
 train_model_on_tune_8a726_00195 , TERMINATED , 10.140.0.117:71358  ,6,11,500,500,0.1,1,0.850529,1.03683
 train_model_on_tune_8a726_00196 , TERMINATED , 10.140.0.117:72341  ,6,11,500,500,0.001,1,0.850529,0.825165
 train_model_on_tune_8a726_00197 , TERMINATED , 10.140.0.117:72830  ,6,11,500,500,0.0001,1,0.850529,0.715919
 train_model_on_tune_8a726_00198 , TERMINATED , 10.140.0.117:81681  ,6,11,500,500,0.005,1,0.850529,0.85073
 train_model_on_tune_8a726_00199 , TERMINATED , 10.140.0.117:84017  ,6,11,500,500,0.0005,1,0.850529,0.801214
 train_model_on_tune_8a726_00205 , TERMINATED , 10.140.0.117:89150  ,6,13,500,500,0.1,1,0.850529,1.0421
 train_model_on_tune_8a726_00206 , TERMINATED , 10.140.0.117:96283  ,6,13,500,500,0.001,1,0.850529,1.10258
 train_model_on_tune_8a726_00207 , TERMINATED , 10.140.0.117:98770  ,6,13,500,500,0.0001,1,0.850529,1.10063
 train_model_on_tune_8a726_00208 , TERMINATED , 10.140.0.117:104060 ,6,13,500,500,0.005,1,0.850529,1.12036
 train_model_on_tune_8a726_00209 , TERMINATED , 10.140.0.117:106202 ,6,13,500,500,0.0005,1,0.850529,1.08393
 train_model_on_tune_8a726_00098 , TERMINATED , 10.140.0.117:12680  ,4,13,500,500,0.005,1,0.850583,0.924215
 train_model_on_tune_8a726_00097 , TERMINATED , 10.140.0.117:12280  ,4,13,500,500,0.0001,1,0.850616,1.18786
 train_model_on_tune_8a726_00155 , TERMINATED , 10.140.0.117:139788 ,5,14,500,500,0.1,1,0.850636,1.12454
 train_model_on_tune_8a726_00156 , TERMINATED , 10.140.0.117:142185 ,5,14,500,500,0.001,1,0.850636,0.738272
 train_model_on_tune_8a726_00158 , TERMINATED , 10.140.0.117:146524 ,5,14,500,500,0.005,1,0.850636,0.912776
 train_model_on_tune_8a726_00065 , TERMINATED , 10.140.0.117:100574 ,4,7,500,500,0.1,1,0.850648,1.18767
 train_model_on_tune_8a726_00066 , TERMINATED , 10.140.0.117:105328 ,4,7,500,500,0.001,1,0.850648,1.18755
 train_model_on_tune_8a726_00067 , TERMINATED , 10.140.0.117:109392 ,4,7,500,500,0.0001,1,0.850648,1.18745
 train_model_on_tune_8a726_00068 , TERMINATED , 10.140.0.117:109402 ,4,7,500,500,0.005,1,0.850648,1.18778
